,site_name,address,city,long,lat,county,hours
494,7-Eleven 14248 C,250 W Maude Ave,Sunnyvale,-122.02835,37.388935,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
495,7-Eleven 14240D,15 S Abbott Ave,Milpitas,-121.91415,37.428515999999995,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
496,7-Eleven 14270 B,2440 Almaden Expwy,San Jose,-121.87997,37.289761,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
497,7-Eleven 14300 E,284 S 11th St,San Jose,-121.87669,37.336788,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
498,7-Eleven 17674,1595 Branham Ln,San Jose,-121.9025,37.253338,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
499,STOP N SAVE 110,2297 McKee Rd,San Jose,-121.85038999999999,37.365269,Santa Clara,"Monday: 6:00 AM – 2:00 AM
Tuesday: 6:00 AM – 2:00 AM
Wednesday: 6:00 AM – 2:00 AM
Thursday: 6:00 AM – 2:00 AM
Friday: 6:00 AM – 2:00 AM
Saturday: 6:00 AM – 2:00 AM
Sunday: 6:00 AM – 2:00 AM"
500,Evergreen Shell 181,3290 S White Rd,San Jose,-121.79173,37.314262,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
501,Zhengpei Petrol Gilroy Corporation 83139,400 Leavesley Rd,Gilroy,-121.56873999999999,37.021496,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
502,Best Liquor,1055 Tully Rd,San Jose,-121.838,37.314358,Santa Clara,"Monday: 9:00 AM – 11:00 PM
Tuesday: 9:00 AM – 11:00 PM
Wednesday: 9:00 AM – 11:00 PM
Thursday: 9:00 AM – 11:00 PM
Friday: 9:00 AM – 12:00 AM
Saturday: 9:30 AM – 12:00 AM
Sunday: 9:00 AM – 11:00 PM"
503,7 Eleven 2710 37953A,890 Coleman Ave,San Jose,-121.91481,37.345963,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
504,Marina Grocery,25 N Milpitas Blvd,Milpitas,-121.90003,37.433323,Santa Clara,"Monday: 8:00 AM – 10:00 PM
Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 10:00 PM
Saturday: 8:00 AM – 10:00 PM
Sunday: 8:00 AM – 10:00 PM"
505,Food Maxx 491,3002 Story Rd,San Jose,-121.82008,37.355518,Santa Clara,"Monday: 6:00 AM – 12:00 AM
Tuesday: 6:00 AM – 12:00 AM
Wednesday: 6:00 AM – 12:00 AM
Thursday: 6:00 AM – 12:00 AM
Friday: 6:00 AM – 12:00 AM
Saturday: 6:00 AM – 12:00 AM
Sunday: 6:00 AM – 12:00 AM"
506,JERRYS MARKET,1491 S Main St,Milpitas,-121.9026,37.409225,Santa Clara,"Monday: 7:00 AM – 11:00 PM
Tuesday: 7:00 AM – 11:00 PM
Wednesday: 7:00 AM – 11:00 PM
Thursday: 7:00 AM – 11:00 PM
Friday: 7:00 AM – 11:00 PM
Saturday: 7:00 AM – 11:00 PM
Sunday: 8:00 AM – 9:00 PM"
507,Charlies Liquor Market,166 W 10th St,Gilroy,-121.56773000000001,36.999699,Santa Clara,No hours listed
508,Hanas Bottle Shop,3149 El Camino Real,Santa Clara,-121.98357,37.352505,Santa Clara,"Monday: 7:00 AM – 12:00 AM
Tuesday: 7:00 AM – 12:00 AM
Wednesday: 7:00 AM – 12:00 AM
Thursday: 7:00 AM – 12:00 AM
Friday: 7:00 AM – 12:30 AM
Saturday: 7:00 AM – 12:30 AM
Sunday: 7:30 AM – 12:00 AM"
509,Primetime Nutrition 533,301 N Jackson,San Jose,-121.85101,37.366001000000004,Santa Clara,"Monday: 8:00 AM – 7:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM"
510,Primetime Nutrition 540,4100 Monterey Hwy,San Jose,-121.83575,37.278664,Santa Clara,"Monday: 8:00 AM – 7:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: Closed"
511,7 Eleven 2367-37730a 37730A,4199 Hamilton Ave,San Jose,-121.97621000000001,37.293827,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
512,7-Eleven 25561,617 Blossom Hill Rd,San Jose,-121.84253000000001,37.250735999999996,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
513,Capital Shell 163,1601 N Capitol Ave,San Jose,-121.87216000000001,37.396763,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
514,Billa Discount Liquor # 1 1,1068 Story Road,San Jose,-121.8549,37.331718,Santa Clara,"Monday: 8:00 AM – 11:00 PM
Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:30 PM
Saturday: 8:00 AM – 11:30 PM
Sunday: 8:00 AM – 11:00 PM"
515,Dollar Tree 3238,2425 Winchester Blvd,Campbell,-121.94985,37.27898,Santa Clara,"Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM"
516,Costco Wholesale 0760,7251 Camino Arroyo,Gilroy,-121.5545,37.008648,Santa Clara,"Monday: 10:00 AM – 8:30 PM
Tuesday: 10:00 AM – 8:30 PM
Wednesday: 10:00 AM – 8:30 PM
Thursday: 10:00 AM – 8:30 PM
Friday: 10:00 AM – 8:30 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 10:00 AM – 7:00 PM"
517,Costco Wholesale 1004,1709 Automation Pkwy,San Jose,-121.883,37.38879,Santa Clara,"Monday: 10:00 AM – 8:30 PM
Tuesday: 10:00 AM – 8:30 PM
Wednesday: 10:00 AM – 8:30 PM
Thursday: 10:00 AM – 8:30 PM
Friday: 10:00 AM – 8:30 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 7:00 PM"
518,New India Bazar,2213 El Camino Real,Santa Clara,-121.96333999999999,37.352501000000004,Santa Clara,"Monday: 10:00 AM – 8:00 PM
Tuesday: 10:00 AM – 8:00 PM
Wednesday: 10:00 AM – 8:00 PM
Thursday: 10:00 AM – 8:00 PM
Friday: 10:00 AM – 8:00 PM
Saturday: 10:00 AM – 8:00 PM
Sunday: 10:00 AM – 8:00 PM"
