region,alameda,santa_clara,san_mateo,contra_costa,marin,monterey,sonoma,solano,napa,san_francisco,resource,free,provider_name,provider_addloc,address,city,state,zip,lat,lon,contact,call_in_advance,email,cuisine,instructions,offers,notes,notes_es,web_link,web_link_es,twitter,instagram,facebook,local,status,temp_closed,mon,tues,wed,thr,fri,sat,sun,sp_mon,sp_tues,sp_wed,sp_thr,sp_fri,sp_sat,sp_sun,special_hours,must_preorder,pay_at_pickup,in_store_pickup,catering,curbside_pickup,drive_thru,delivery,farm_pickup,farmers_market,business_closed,discount_medical,meal_student,meal_senior,meal_public,family_meal,free_produce,free_groceries,public,seniors,children,homeless,clients,uninsured,residents,immigrants,low income,women,disabled,health_provider,native_american,ebt_online,ebt_phone,legal_housing,legal_worker_protection,legal_healthcare,legal_immigration,legal_criminal,legal_domviolence,legal_contracts,legal_protester_defense,evict_end_date,week_1,week_2,week_3,week_4,week_5,SNAP,WIC,WIC_only_store,quality_check_complete,updated_by,in_person,telehealth,telelegal,sliding_scale,financial_assistance,accepts_medical,med_testing,med_primary_care,med_pediatrics,med_senior,med_women,med_urgent_care,med_dental,med_vision,med_pharmacy,med_benefit,med_mental_health,med_hotline,med_domestic violence,med_addiction,must_show_id,benefits_enrollment,bob,apply_online,apply_phone,cash_type_grant,cash_type_loan,fast_disbursement,fin_general,fin_grocery,fin_housing,fin_legal,fin_medical,fin_utilities,hotline,eviction,dv_medical,dv_mental_health,dv_housing,dv_legal,dv_crisis,dv_referrals
alameda,1,0,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Alameda Tues CFM,710 Haight Ave & Webster St,Alameda,CA,94501,37.774063,-122.27605,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/AlamedaFarmersMarket/,,,,,0,1,0,0,9:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_clara,0,1,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Alum Rock Village CFM,23 N White Rd,San Jose,CA,95127,37.367454,-121.83022,,0,,,,,Located at: James Lick High School. Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,1,0,0,0,0,0,0,0,8:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_mateo,0,0,1,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Belmont CFM,1201 El Camino Real & O'Neill St,Belmont,CA,94002,37.519226,-122.27437,,0,,,,,Located at: CalTrain Parking Lot. Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,1,0,0,0,0,0,0,0,9:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_clara,0,1,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Berryessa CFM,1376 Piedmont Rd,San Jose,CA,95132,37.402018,-121.84781,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contra_costa,0,0,0,1,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Brentwood CFM,655 First St & Oak St,Brentwood,CA,94513,37.932232,-121.69483,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/BrentwoodFarmersMarket,,,,,0,1,0,0,0,0,0,0,8:00 - 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_francisco,0,0,0,0,0,0,0,0,0,1,grocery,0,Pacific Coast Farmers' Market Association,Castro CFM,290 Noe St & Market St,San Francisco,CA,94114,37.764501,-122.43312,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,1,0,0,0,14:30 - 19:00,0,0,0,0,0,0,14:30 - 15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contra_costa,0,0,0,1,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Clayton CFM,10950 Main St,Clayton,CA,94517,37.941417,-121.93429,,0,,,,,,,https://www.facebook.com/ClaytonMarket,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contra_costa,0,0,0,1,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Concord Thurs. CFM,2175 Willow Pass Rd,Concord,CA,94520,37.977539,-122.03382,,0,,,,,Located at: Todos Santos Plaza. Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/ConcordFarmersMarket/,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contra_costa,0,0,0,1,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Concord Tues. CFM,2175 Willow Pass Rd,Concord,CA,94520,37.977539,-122.03382,,0,,,,,Located at: Todos Santos Plaza. Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/ConcordFarmersMarket/,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_francisco,0,0,0,0,0,0,0,0,0,1,grocery,0,Pacific Coast Farmers' Market Association,Divisadero CFM,1303 Grove St & Divisadero St,San Francisco,CA,94117,37.7759,-122.43772,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/DivisaderoFarmersMarket/,,,,,0,1,0,0,0,0,0,0,0,10:00 - 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,1,0,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Dublin CFM,4201 Central Parkway & Tassajara Rd,Dublin,CA,94568,37.71051,-121.87845,,0,,,,,Located at: The Wave at Emerald Glen Park. Offers market match ($1 for $1) with maximum: $10,,https://www.dublin.ca.gov/928/Dublin-Farmers-Market,,,,,0,1,0,0,0,0,12:00 - 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,1,0,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,East Plaza-Union City CFM,34400 11th St & Decoto Rd,Union City,CA,94587,37.593696,-122.01936,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,NA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_clara,0,1,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,East Santa Clara Street CFM,651 E Santa Clara St & N 14th St,San Jose,CA,95112,37.342527,-121.8772,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_clara,0,1,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Evergreen Sunday CFM,4055 Evergreen Village Sq & Classico Ave,San Jose,CA,95135,37.313695,-121.7735,,0,,,,,Located at: Evergreen Village Square. Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,1,0,0,0,0,0,0,0,9:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_clara,0,1,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Evergreen Wednesday CFM,4055 Evergreen Village Sq & Classico Ave,San Jose,CA,95135,37.313691,-121.77349,,0,,,,,Located at: Evergreen Village Square. Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,1,0,0,0,9:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
