# ----------------------------------------
# All Web Site Data
# Browser & OS
# 20200601-20200814
# ----------------------------------------

Operating System,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
iOS,20200706,10,6,12,25.00%,1.25,00:02:25,0.00%,0,$0.00
iOS,20200713,10,5,14,28.57%,1.21,00:01:59,0.00%,0,$0.00
Macintosh,20200619,10,2,11,54.55%,2.55,00:16:36,0.00%,0,$0.00
Macintosh,20200703,10,6,10,70.00%,1.10,00:01:08,0.00%,0,$0.00
Macintosh,20200710,10,5,11,63.64%,1.09,00:04:38,0.00%,0,$0.00
Macintosh,20200803,10,4,10,50.00%,1.20,00:01:16,0.00%,0,$0.00
Macintosh,20200806,10,3,11,36.36%,1.18,00:01:32,0.00%,0,$0.00
Macintosh,20200812,10,2,11,54.55%,3.45,00:10:49,0.00%,0,$0.00
Windows,20200709,10,7,11,36.36%,1.09,00:00:57,0.00%,0,$0.00
Android,20200604,9,8,11,63.64%,1.09,00:00:19,0.00%,0,$0.00
iOS,20200605,9,8,9,66.67%,1.11,00:00:07,0.00%,0,$0.00
iOS,20200708,9,5,15,20.00%,1.33,00:00:25,0.00%,0,$0.00
iOS,20200714,9,6,11,27.27%,1.09,00:01:56,0.00%,0,$0.00
iOS,20200727,9,6,9,22.22%,1.22,00:01:36,0.00%,0,$0.00
iOS,20200728,9,7,12,16.67%,1.00,00:00:23,0.00%,0,$0.00
Macintosh,20200810,9,2,14,42.86%,2.43,00:03:52,0.00%,0,$0.00
Windows,20200615,9,5,9,44.44%,1.11,00:01:42,0.00%,0,$0.00
Windows,20200624,9,5,11,45.45%,2.09,00:04:54,0.00%,0,$0.00
iOS,20200626,8,5,12,25.00%,1.50,00:05:18,0.00%,0,$0.00
iOS,20200702,8,4,9,44.44%,1.00,00:00:06,0.00%,0,$0.00
iOS,20200705,8,8,8,37.50%,1.12,00:00:50,0.00%,0,$0.00
Macintosh,20200709,8,2,8,37.50%,1.38,00:00:18,0.00%,0,$0.00
Macintosh,20200716,8,2,8,62.50%,1.00,00:00:16,0.00%,0,$0.00
Macintosh,20200727,8,5,10,60.00%,1.20,00:00:30,0.00%,0,$0.00
Windows,20200610,8,5,9,66.67%,1.11,00:00:33,0.00%,0,$0.00
Windows,20200710,8,5,10,30.00%,1.20,00:00:54,0.00%,0,$0.00
Windows,20200713,8,6,8,37.50%,1.38,00:02:04,0.00%,0,$0.00
Windows,20200722,8,8,10,80.00%,1.30,00:02:29,0.00%,0,$0.00
Windows,20200727,8,7,9,33.33%,1.11,00:00:38,0.00%,0,$0.00
Windows,20200728,8,8,8,62.50%,1.00,00:03:23,0.00%,0,$0.00
Windows,20200811,8,6,8,50.00%,1.75,00:01:42,0.00%,0,$0.00
Android,20200601,7,6,7,57.14%,1.71,00:07:24,0.00%,0,$0.00
iOS,20200619,7,4,7,28.57%,1.29,00:04:36,0.00%,0,$0.00
iOS,20200725,7,6,9,66.67%,1.33,00:03:42,0.00%,0,$0.00
Macintosh,20200620,7,1,10,70.00%,1.20,00:00:31,0.00%,0,$0.00
Macintosh,20200627,7,2,7,57.14%,1.00,00:04:39,0.00%,0,$0.00
Macintosh,20200628,7,1,7,42.86%,1.00,00:01:14,0.00%,0,$0.00
Macintosh,20200714,7,5,9,88.89%,1.00,<00:00:01,0.00%,0,$0.00
Macintosh,20200715,7,2,8,87.50%,1.00,00:00:01,0.00%,0,$0.00
Macintosh,20200724,7,5,8,50.00%,1.12,00:00:31,0.00%,0,$0.00
Windows,20200623,7,5,7,85.71%,1.00,00:00:41,0.00%,0,$0.00
Windows,20200810,7,6,8,25.00%,1.50,00:02:29,0.00%,0,$0.00
Android,20200603,6,6,6,83.33%,1.00,00:00:19,0.00%,0,$0.00
Android,20200701,6,4,6,83.33%,1.00,00:00:04,0.00%,0,$0.00
iOS,20200606,6,3,6,83.33%,1.00,00:00:00,0.00%,0,$0.00
iOS,20200612,6,1,6,50.00%,1.17,00:00:17,0.00%,0,$0.00
iOS,20200614,6,4,9,55.56%,1.11,00:01:38,0.00%,0,$0.00
iOS,20200621,6,5,6,66.67%,1.17,00:00:10,0.00%,0,$0.00
iOS,20200628,6,5,6,50.00%,1.00,00:00:16,0.00%,0,$0.00
iOS,20200715,6,4,6,16.67%,1.00,00:00:51,0.00%,0,$0.00
iOS,20200724,6,3,6,50.00%,1.17,00:00:43,0.00%,0,$0.00
iOS,20200806,6,4,10,30.00%,1.20,00:04:32,0.00%,0,$0.00
iOS,20200808,6,3,6,33.33%,1.00,00:00:20,0.00%,0,$0.00
Macintosh,20200613,6,2,11,54.55%,1.09,00:05:18,0.00%,0,$0.00
Macintosh,20200705,6,3,6,66.67%,1.17,00:00:31,0.00%,0,$0.00
Macintosh,20200706,6,2,7,57.14%,1.43,00:05:38,0.00%,0,$0.00
Macintosh,20200717,6,3,9,88.89%,1.33,00:00:28,0.00%,0,$0.00
Macintosh,20200721,6,4,6,83.33%,1.00,00:00:02,0.00%,0,$0.00
Macintosh,20200728,6,2,7,57.14%,1.43,00:00:41,0.00%,0,$0.00
Macintosh,20200804,6,2,8,75.00%,1.00,00:00:03,0.00%,0,$0.00
Macintosh,20200807,6,5,7,42.86%,1.00,00:00:18,0.00%,0,$0.00
Windows,20200612,6,4,7,42.86%,1.14,00:00:16,0.00%,0,$0.00
Windows,20200621,6,5,6,50.00%,1.00,00:00:46,0.00%,0,$0.00
Windows,20200706,6,2,6,66.67%,1.00,00:01:06,0.00%,0,$0.00
Windows,20200714,6,5,6,33.33%,1.33,00:00:48,0.00%,0,$0.00
Windows,20200729,6,3,7,57.14%,1.29,00:00:12,0.00%,0,$0.00
Windows,20200805,6,6,6,83.33%,1.17,00:00:01,0.00%,0,$0.00
Android,20200602,5,4,5,40.00%,1.40,00:03:51,0.00%,0,$0.00
Android,20200626,5,4,7,14.29%,1.86,00:07:06,0.00%,0,$0.00
Android,20200707,5,5,5,40.00%,1.20,00:07:30,0.00%,0,$0.00
Android,20200709,5,5,5,80.00%,1.00,00:00:09,0.00%,0,$0.00
iOS,20200613,5,3,6,100.00%,1.00,00:00:00,0.00%,0,$0.00
iOS,20200625,5,2,9,44.44%,1.22,00:03:24,0.00%,0,$0.00
iOS,20200703,5,3,7,57.14%,1.14,00:02:25,0.00%,0,$0.00
iOS,20200709,5,3,10,30.00%,1.00,00:02:30,0.00%,0,$0.00
iOS,20200717,5,5,5,20.00%,1.00,00:00:23,0.00%,0,$0.00
iOS,20200721,5,2,5,60.00%,1.00,00:00:02,0.00%,0,$0.00
iOS,20200726,5,3,7,28.57%,1.14,00:03:03,0.00%,0,$0.00
iOS,20200729,5,3,9,0.00%,1.22,00:00:29,0.00%,0,$0.00
iOS,20200802,5,3,6,33.33%,1.00,00:00:08,0.00%,0,$0.00
iOS,20200803,5,2,6,0.00%,1.67,00:00:41,0.00%,0,$0.00
iOS,20200805,5,2,6,33.33%,1.17,00:04:16,0.00%,0,$0.00
iOS,20200807,5,2,5,60.00%,1.20,00:00:35,0.00%,0,$0.00
iOS,20200811,5,3,7,28.57%,1.00,00:00:10,0.00%,0,$0.00
iOS,20200813,5,3,6,33.33%,1.17,00:02:16,0.00%,0,$0.00
Macintosh,20200712,5,2,5,40.00%,1.00,00:02:35,0.00%,0,$0.00
Macintosh,20200725,5,4,5,60.00%,1.00,00:01:06,0.00%,0,$0.00
Windows,20200616,5,5,5,40.00%,6.80,00:20:12,0.00%,0,$0.00
Windows,20200618,5,4,5,40.00%,1.40,00:00:27,0.00%,0,$0.00
Windows,20200703,5,5,6,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200720,5,4,6,0.00%,0.83,00:01:39,0.00%,0,$0.00
Windows,20200724,5,5,5,80.00%,1.40,00:02:00,0.00%,0,$0.00
Android,20200702,4,2,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
iOS,20200623,4,3,4,25.00%,1.00,00:00:08,0.00%,0,$0.00
iOS,20200720,4,2,4,50.00%,1.25,00:06:50,0.00%,0,$0.00
iOS,20200731,4,2,6,16.67%,1.00,00:00:09,0.00%,0,$0.00
iOS,20200810,4,0,6,33.33%,1.17,00:01:20,0.00%,0,$0.00
iOS,20200812,4,3,5,20.00%,1.20,00:01:40,0.00%,0,$0.00
Linux,20200731,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Macintosh,20200621,4,1,5,80.00%,1.00,00:00:02,0.00%,0,$0.00
Macintosh,20200730,4,2,4,75.00%,1.00,00:00:03,0.00%,0,$0.00
Macintosh,20200808,4,1,4,50.00%,1.25,00:02:29,0.00%,0,$0.00
Windows,20200613,4,2,4,50.00%,1.25,00:01:44,0.00%,0,$0.00
Windows,20200619,4,2,4,50.00%,1.00,00:00:23,0.00%,0,$0.00
Windows,20200625,4,2,5,80.00%,1.00,00:00:13,0.00%,0,$0.00
Windows,20200702,4,3,4,50.00%,1.00,00:00:40,0.00%,0,$0.00
Windows,20200705,4,3,4,50.00%,1.50,00:01:40,0.00%,0,$0.00
Windows,20200715,4,1,4,25.00%,1.25,00:01:21,0.00%,0,$0.00
Windows,20200716,4,2,4,25.00%,1.25,00:00:16,0.00%,0,$0.00
Windows,20200723,4,3,4,25.00%,1.25,00:01:11,0.00%,0,$0.00
Windows,20200731,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200803,4,4,4,50.00%,1.25,00:01:04,0.00%,0,$0.00
Windows,20200809,4,3,5,40.00%,1.00,00:00:07,0.00%,0,$0.00
Windows,20200812,4,1,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200814,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200605,3,2,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200607,3,1,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200611,3,2,3,33.33%,1.67,00:11:37,0.00%,0,$0.00
Android,20200616,3,2,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200715,3,3,4,25.00%,1.00,00:00:13,0.00%,0,$0.00
Android,20200716,3,2,4,50.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200722,3,2,3,33.33%,1.00,00:00:28,0.00%,0,$0.00
Chrome OS,20200707,3,2,3,33.33%,1.00,00:06:50,0.00%,0,$0.00
iOS,20200607,3,1,4,25.00%,13.75,00:28:05,0.00%,0,$0.00
iOS,20200620,3,2,3,33.33%,1.00,00:00:07,0.00%,0,$0.00
iOS,20200710,3,1,5,20.00%,1.20,00:02:18,0.00%,0,$0.00
iOS,20200712,3,2,5,40.00%,1.00,00:00:08,0.00%,0,$0.00
iOS,20200716,3,2,3,33.33%,1.00,00:00:04,0.00%,0,$0.00
iOS,20200718,3,1,3,33.33%,0.67,00:00:09,0.00%,0,$0.00
iOS,20200722,3,3,3,66.67%,2.33,00:00:20,0.00%,0,$0.00
iOS,20200730,3,1,4,0.00%,1.25,00:11:41,0.00%,0,$0.00
iOS,20200804,3,1,5,20.00%,1.40,00:01:13,0.00%,0,$0.00
iOS,20200814,3,1,6,16.67%,1.00,00:00:19,0.00%,0,$0.00
Linux,20200728,3,3,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200804,3,3,4,50.00%,1.75,00:00:45,0.00%,0,$0.00
Macintosh,20200704,3,2,3,66.67%,1.00,00:00:15,0.00%,0,$0.00
Macintosh,20200711,3,1,4,50.00%,1.25,00:00:27,0.00%,0,$0.00
Macintosh,20200718,3,1,4,50.00%,1.75,00:01:35,0.00%,0,$0.00
Macintosh,20200719,3,1,4,75.00%,1.00,00:00:00,0.00%,0,$0.00
Macintosh,20200731,3,3,3,0.00%,1.33,00:01:30,0.00%,0,$0.00
Macintosh,20200802,3,2,4,75.00%,1.25,00:00:55,0.00%,0,$0.00
Windows,20200606,3,2,3,33.33%,1.67,00:01:30,0.00%,0,$0.00
Windows,20200607,3,3,3,33.33%,1.00,00:02:05,0.00%,0,$0.00
Windows,20200614,3,2,3,66.67%,1.33,00:01:26,0.00%,0,$0.00
Windows,20200628,3,3,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
